Time,Offset
1901-12-13 20:45:52,+00:00
1916-05-21 02:00:00,+01:00
1916-10-01 02:00:00,+00:00
1917-04-08 02:00:00,+01:00
1917-09-17 02:00:00,+00:00
1918-03-24 02:00:00,+01:00
1918-09-30 02:00:00,+00:00
1919-03-30 02:00:00,+01:00
1919-09-29 02:00:00,+00:00
1920-03-28 02:00:00,+01:00
1920-10-25 02:00:00,+00:00
1921-04-03 02:00:00,+01:00
1921-10-03 02:00:00,+00:00
1922-03-26 02:00:00,+01:00
1922-10-08 02:00:00,+00:00
1923-04-22 02:00:00,+01:00
1923-09-16 02:00:00,+00:00
1924-04-13 02:00:00,+01:00
1924-09-21 02:00:00,+00:00
1925-04-19 02:00:00,+01:00
1925-10-04 02:00:00,+00:00
1926-04-18 02:00:00,+01:00
1926-10-03 02:00:00,+00:00
1927-04-10 02:00:00,+01:00
1927-10-02 02:00:00,+00:00
1928-04-22 02:00:00,+01:00
1928-10-07 02:00:00,+00:00
1929-04-21 02:00:00,+01:00
1929-10-06 02:00:00,+00:00
1930-04-13 02:00:00,+01:00
1930-10-05 02:00:00,+00:00
1931-04-19 02:00:00,+01:00
1931-10-04 02:00:00,+00:00
1932-04-17 02:00:00,+01:00
1932-10-02 02:00:00,+00:00
1933-04-09 02:00:00,+01:00
1933-10-08 02:00:00,+00:00
1934-04-22 02:00:00,+01:00
1934-10-07 02:00:00,+00:00
1935-04-14 02:00:00,+01:00
1935-10-06 02:00:00,+00:00
1936-04-19 02:00:00,+01:00
1936-10-04 02:00:00,+00:00
1937-04-18 02:00:00,+01:00
1937-10-03 02:00:00,+00:00
1938-04-10 02:00:00,+01:00
1938-10-02 02:00:00,+00:00
1939-04-16 02:00:00,+01:00
1939-11-19 02:00:00,+00:00
1940-02-25 02:00:00,+01:00
1941-05-04 01:00:00,+02:00
1941-08-10 01:00:00,+01:00
1942-04-05 01:00:00,+02:00
1942-08-09 01:00:00,+01:00
1943-04-04 01:00:00,+02:00
1943-08-15 01:00:00,+01:00
1944-04-02 01:00:00,+02:00
1944-09-17 01:00:00,+01:00
1945-04-02 01:00:00,+02:00
1945-07-15 01:00:00,+01:00
1945-10-07 02:00:00,+00:00
1946-04-14 02:00:00,+01:00
1946-10-06 02:00:00,+00:00
1947-03-16 02:00:00,+01:00
1947-04-13 01:00:00,+02:00
1947-08-10 01:00:00,+01:00
1947-11-02 02:00:00,+00:00
1948-03-14 02:00:00,+01:00
1948-10-31 02:00:00,+00:00
1949-04-03 02:00:00,+01:00
1949-10-30 02:00:00,+00:00
1950-04-16 02:00:00,+01:00
1950-10-22 02:00:00,+00:00
1951-04-15 02:00:00,+01:00
1951-10-21 02:00:00,+00:00
1952-04-20 02:00:00,+01:00
1952-10-26 02:00:00,+00:00
1953-04-19 02:00:00,+01:00
1953-10-04 02:00:00,+00:00
1954-04-11 02:00:00,+01:00
1954-10-03 02:00:00,+00:00
1955-04-17 02:00:00,+01:00
1955-10-02 02:00:00,+00:00
1956-04-22 02:00:00,+01:00
1956-10-07 02:00:00,+00:00
1957-04-14 02:00:00,+01:00
1982-03-28 01:00:00,+02:00
1982-09-26 01:00:00,+01:00
1983-03-27 01:00:00,+02:00
1983-09-25 01:00:00,+01:00
1984-03-25 01:00:00,+02:00
1984-09-30 01:00:00,+01:00
1985-03-31 01:00:00,+02:00
1985-09-29 01:00:00,+01:00
1986-03-30 01:00:00,+02:00
1986-09-28 01:00:00,+01:00
1987-03-29 01:00:00,+02:00
1987-09-27 01:00:00,+01:00
1988-03-27 01:00:00,+02:00
1988-09-25 01:00:00,+01:00
1989-03-26 01:00:00,+02:00
1989-09-24 01:00:00,+01:00
1990-03-25 01:00:00,+02:00
1990-09-30 01:00:00,+01:00
1991-03-31 01:00:00,+02:00
1991-09-29 01:00:00,+01:00
1992-03-29 01:00:00,+02:00
1992-09-27 01:00:00,+01:00
1993-03-28 01:00:00,+02:00
1993-09-26 01:00:00,+01:00
1994-03-27 01:00:00,+02:00
1994-09-25 01:00:00,+01:00
1995-03-26 01:00:00,+02:00
1995-09-24 01:00:00,+01:00
1996-03-31 01:00:00,+02:00
1996-10-27 01:00:00,+01:00
1997-03-30 01:00:00,+02:00
1997-10-26 01:00:00,+01:00
1998-03-29 01:00:00,+02:00
1998-10-25 01:00:00,+01:00
1999-03-28 01:00:00,+02:00
1999-10-31 01:00:00,+01:00
2000-03-26 01:00:00,+02:00
2000-10-29 01:00:00,+01:00
2001-03-25 01:00:00,+02:00
2001-10-28 01:00:00,+01:00
2002-03-31 01:00:00,+02:00
2002-10-27 01:00:00,+01:00
2003-03-30 01:00:00,+02:00
2003-10-26 01:00:00,+01:00
2004-03-28 01:00:00,+02:00
2004-10-31 01:00:00,+01:00
2005-03-27 01:00:00,+02:00
2005-10-30 01:00:00,+01:00
2006-03-26 01:00:00,+02:00
2006-10-29 01:00:00,+01:00
2007-03-25 01:00:00,+02:00
2007-10-28 01:00:00,+01:00
2008-03-30 01:00:00,+02:00
2008-10-26 01:00:00,+01:00
2009-03-29 01:00:00,+02:00
2009-10-25 01:00:00,+01:00
2010-03-28 01:00:00,+02:00
2010-10-31 01:00:00,+01:00
2011-03-27 01:00:00,+02:00
2011-10-30 01:00:00,+01:00
2012-03-25 01:00:00,+02:00
2012-10-28 01:00:00,+01:00
2013-03-31 01:00:00,+02:00
2013-10-27 01:00:00,+01:00
2014-03-30 01:00:00,+02:00
2014-10-26 01:00:00,+01:00
2015-03-29 01:00:00,+02:00
2015-10-25 01:00:00,+01:00
2016-03-27 01:00:00,+02:00
2016-10-30 01:00:00,+01:00
2017-03-26 01:00:00,+02:00
2017-10-29 01:00:00,+01:00
2018-03-25 01:00:00,+02:00
2018-10-28 01:00:00,+01:00
2019-03-31 01:00:00,+02:00
2019-10-27 01:00:00,+01:00
2020-03-29 01:00:00,+02:00
2020-10-25 01:00:00,+01:00
2021-03-28 01:00:00,+02:00
2021-10-31 01:00:00,+01:00
2022-03-27 01:00:00,+02:00
2022-10-30 01:00:00,+01:00
2023-03-26 01:00:00,+02:00
2023-10-29 01:00:00,+01:00
2024-03-31 01:00:00,+02:00
2024-10-27 01:00:00,+01:00
2025-03-30 01:00:00,+02:00
2025-10-26 01:00:00,+01:00
2026-03-29 01:00:00,+02:00
2026-10-25 01:00:00,+01:00
2027-03-28 01:00:00,+02:00
2027-10-31 01:00:00,+01:00
2028-03-26 01:00:00,+02:00
2028-10-29 01:00:00,+01:00
2029-03-25 01:00:00,+02:00
2029-10-28 01:00:00,+01:00
2030-03-31 01:00:00,+02:00
2030-10-27 01:00:00,+01:00
2031-03-30 01:00:00,+02:00
2031-10-26 01:00:00,+01:00
2032-03-28 01:00:00,+02:00
2032-10-31 01:00:00,+01:00
2033-03-27 01:00:00,+02:00
2033-10-30 01:00:00,+01:00
2034-03-26 01:00:00,+02:00
2034-10-29 01:00:00,+01:00
2035-03-25 01:00:00,+02:00
2035-10-28 01:00:00,+01:00
2036-03-30 01:00:00,+02:00
2036-10-26 01:00:00,+01:00
2037-03-29 01:00:00,+02:00
2037-10-25 01:00:00,+01:00
