Time,Offset
1901-12-13T20:45:52,-05:17
1910-01-10T04:42:45,-05:00
1916-07-01T05:00:00,-05:17
1918-09-10T04:42:45,-04:00
1919-07-01T04:00:00,-05:17
1927-09-01T04:42:45,-04:00
1928-04-01T04:00:00,-05:00
1928-09-01T05:00:00,-04:00
1929-04-01T04:00:00,-05:00
1929-09-01T05:00:00,-04:00
1930-04-01T04:00:00,-05:00
1930-09-01T05:00:00,-04:00
1931-04-01T04:00:00,-05:00
1931-09-01T05:00:00,-04:00
1932-04-01T04:00:00,-05:00
1932-09-01T05:00:00,-04:00
1942-06-01T04:00:00,-05:00
1942-08-01T05:00:00,-04:00
1946-07-15T04:00:00,-03:00
1946-08-29T03:00:00,-04:00
1947-04-01T04:00:00,-05:00
1947-05-22T04:00:00,-04:00
1968-11-03T04:00:00,-03:00
1969-03-30T03:00:00,-04:00
1969-11-23T04:00:00,-03:00
1970-03-29T03:00:00,-04:00
1970-10-11T04:00:00,-03:00
1971-03-14T03:00:00,-04:00
1971-10-10T04:00:00,-03:00
1972-03-12T03:00:00,-04:00
1972-10-15T04:00:00,-03:00
1973-03-11T03:00:00,-04:00
1973-09-30T04:00:00,-03:00
1974-03-10T03:00:00,-04:00
1974-10-13T04:00:00,-03:00
1975-03-09T03:00:00,-04:00
1975-10-12T04:00:00,-03:00
1976-03-14T03:00:00,-04:00
1976-10-10T04:00:00,-03:00
1977-03-13T03:00:00,-04:00
1977-10-09T04:00:00,-03:00
1978-03-12T03:00:00,-04:00
1978-10-15T04:00:00,-03:00
1979-03-11T03:00:00,-04:00
1979-10-14T04:00:00,-03:00
1980-03-09T03:00:00,-04:00
1980-10-12T04:00:00,-03:00
1981-03-15T03:00:00,-04:00
1981-10-11T04:00:00,-03:00
1982-03-14T03:00:00,-04:00
1982-10-10T04:00:00,-03:00
1983-03-13T03:00:00,-04:00
1983-10-09T04:00:00,-03:00
1984-03-11T03:00:00,-04:00
1984-10-14T04:00:00,-03:00
1985-03-10T03:00:00,-04:00
1985-10-13T04:00:00,-03:00
1986-03-09T03:00:00,-04:00
1986-10-12T04:00:00,-03:00
1987-04-12T03:00:00,-04:00
1987-10-11T04:00:00,-03:00
1988-03-13T03:00:00,-04:00
1988-10-09T04:00:00,-03:00
1989-03-12T03:00:00,-04:00
1989-10-15T04:00:00,-03:00
1990-03-11T03:00:00,-04:00
1990-09-16T04:00:00,-03:00
1991-03-10T03:00:00,-04:00
1991-10-13T04:00:00,-03:00
1992-03-15T03:00:00,-04:00
1992-10-11T04:00:00,-03:00
1993-03-14T03:00:00,-04:00
1993-10-10T04:00:00,-03:00
1994-03-13T03:00:00,-04:00
1994-10-09T04:00:00,-03:00
1995-03-12T03:00:00,-04:00
1995-10-15T04:00:00,-03:00
1996-03-10T03:00:00,-04:00
1996-10-13T04:00:00,-03:00
1997-03-30T03:00:00,-04:00
1997-10-12T04:00:00,-03:00
1998-03-15T03:00:00,-04:00
1998-09-27T04:00:00,-03:00
1999-04-04T03:00:00,-04:00
1999-10-10T04:00:00,-03:00
2000-03-12T03:00:00,-04:00
2000-10-15T04:00:00,-03:00
2001-03-11T03:00:00,-04:00
2001-10-14T04:00:00,-03:00
2002-03-10T03:00:00,-04:00
2002-10-13T04:00:00,-03:00
2003-03-09T03:00:00,-04:00
2003-10-12T04:00:00,-03:00
2004-03-14T03:00:00,-04:00
2004-10-10T04:00:00,-03:00
2005-03-13T03:00:00,-04:00
