Time,Offset
1901-12-13 20:45:52,-04:09
1931-10-10 03:50:40,-04:00
1972-10-01 04:00:00,-03:00
1974-04-01 03:00:00,-04:00
1975-10-01 04:00:00,-03:00
1976-03-01 03:00:00,-04:00
1976-10-01 04:00:00,-03:00
1977-03-01 03:00:00,-04:00
1977-10-01 04:00:00,-03:00
1978-03-01 03:00:00,-04:00
1978-10-01 04:00:00,-03:00
1979-04-01 03:00:00,-04:00
1979-10-01 04:00:00,-03:00
1980-04-01 03:00:00,-04:00
1980-10-01 04:00:00,-03:00
1981-04-01 03:00:00,-04:00
1981-10-01 04:00:00,-03:00
1982-04-01 03:00:00,-04:00
1982-10-01 04:00:00,-03:00
1983-04-01 03:00:00,-04:00
1983-10-01 04:00:00,-03:00
1984-04-01 03:00:00,-04:00
1984-10-01 04:00:00,-03:00
1985-04-01 03:00:00,-04:00
1985-10-01 04:00:00,-03:00
1986-04-01 03:00:00,-04:00
1986-10-01 04:00:00,-03:00
1987-04-01 03:00:00,-04:00
1987-10-01 04:00:00,-03:00
1988-04-01 03:00:00,-04:00
1988-10-01 04:00:00,-03:00
1989-04-01 03:00:00,-04:00
1989-10-22 04:00:00,-03:00
1990-04-01 03:00:00,-04:00
1990-10-01 04:00:00,-03:00
1991-04-01 03:00:00,-04:00
1991-10-06 04:00:00,-03:00
1992-03-01 03:00:00,-04:00
1992-10-05 04:00:00,-03:00
1993-03-31 03:00:00,-04:00
1993-10-01 04:00:00,-03:00
1994-02-27 03:00:00,-04:00
1994-10-01 04:00:00,-03:00
1995-02-26 03:00:00,-04:00
1995-10-01 04:00:00,-03:00
1996-03-01 03:00:00,-04:00
1996-10-06 04:00:00,-03:00
1997-02-23 03:00:00,-04:00
1997-10-05 04:00:00,-03:00
1998-03-01 03:00:00,-04:00
1998-10-04 04:00:00,-03:00
1999-03-07 03:00:00,-04:00
1999-10-03 04:00:00,-03:00
2000-03-05 03:00:00,-04:00
2000-10-01 04:00:00,-03:00
2001-03-04 03:00:00,-04:00
2001-10-07 04:00:00,-03:00
2002-04-07 03:00:00,-04:00
2002-09-01 04:00:00,-03:00
2003-04-06 03:00:00,-04:00
2003-09-07 04:00:00,-03:00
2004-04-04 03:00:00,-04:00
2004-10-17 04:00:00,-03:00
2005-03-13 03:00:00,-04:00
2005-10-16 04:00:00,-03:00
2006-03-12 03:00:00,-04:00
2006-10-15 04:00:00,-03:00
2007-03-11 03:00:00,-04:00
2007-10-21 04:00:00,-03:00
2008-03-09 03:00:00,-04:00
2008-10-19 04:00:00,-03:00
2009-03-08 03:00:00,-04:00
2009-10-18 04:00:00,-03:00
2010-04-11 03:00:00,-04:00
2010-10-03 04:00:00,-03:00
2011-04-10 03:00:00,-04:00
2011-10-02 04:00:00,-03:00
2012-04-08 03:00:00,-04:00
2012-10-07 04:00:00,-03:00
2013-03-24 03:00:00,-04:00
2013-10-06 04:00:00,-03:00
2014-03-23 03:00:00,-04:00
2014-10-05 04:00:00,-03:00
2015-03-22 03:00:00,-04:00
2015-10-04 04:00:00,-03:00
2016-03-27 03:00:00,-04:00
2016-10-02 04:00:00,-03:00
2017-03-26 03:00:00,-04:00
2017-10-01 04:00:00,-03:00
2018-03-25 03:00:00,-04:00
2018-10-07 04:00:00,-03:00
2019-03-24 03:00:00,-04:00
2019-10-06 04:00:00,-03:00
2020-03-22 03:00:00,-04:00
2020-10-04 04:00:00,-03:00
2021-03-28 03:00:00,-04:00
2021-10-03 04:00:00,-03:00
2022-03-27 03:00:00,-04:00
2022-10-02 04:00:00,-03:00
2023-03-26 03:00:00,-04:00
2023-10-01 04:00:00,-03:00
2024-03-24 03:00:00,-04:00
2024-10-06 04:00:00,-03:00
2025-03-23 03:00:00,-04:00
2025-10-05 04:00:00,-03:00
2026-03-22 03:00:00,-04:00
2026-10-04 04:00:00,-03:00
2027-03-28 03:00:00,-04:00
2027-10-03 04:00:00,-03:00
2028-03-26 03:00:00,-04:00
2028-10-01 04:00:00,-03:00
2029-03-25 03:00:00,-04:00
2029-10-07 04:00:00,-03:00
2030-03-24 03:00:00,-04:00
2030-10-06 04:00:00,-03:00
2031-03-23 03:00:00,-04:00
2031-10-05 04:00:00,-03:00
2032-03-28 03:00:00,-04:00
2032-10-03 04:00:00,-03:00
2033-03-27 03:00:00,-04:00
2033-10-02 04:00:00,-03:00
2034-03-26 03:00:00,-04:00
2034-10-01 04:00:00,-03:00
2035-03-25 03:00:00,-04:00
2035-10-07 04:00:00,-03:00
2036-03-23 03:00:00,-04:00
2036-10-05 04:00:00,-03:00
2037-03-22 03:00:00,-04:00
2037-10-04 04:00:00,-03:00
