Time,Offset
0001-01-01T00:00:00,+01:08
1901-12-13T20:45:52,+01:30
1903-02-28T22:30:00,+02:00
1942-09-20T00:00:00,+03:00
1943-03-20T23:00:00,+02:00
1990-03-20T22:00:00,+02:00
1994-03-20T22:00:00,+01:00
1994-09-04T01:00:00,+02:00
1995-04-02T00:00:00,+01:00
1995-09-03T01:00:00,+02:00
1996-04-07T00:00:00,+01:00
1996-09-01T01:00:00,+02:00
1997-04-06T00:00:00,+01:00
1997-09-07T01:00:00,+02:00
1998-04-05T00:00:00,+01:00
1998-09-06T01:00:00,+02:00
1999-04-04T00:00:00,+01:00
1999-09-05T01:00:00,+02:00
2000-04-02T00:00:00,+01:00
2000-09-03T01:00:00,+02:00
2001-04-01T00:00:00,+01:00
2001-09-02T01:00:00,+02:00
2002-04-07T00:00:00,+01:00
2002-09-01T01:00:00,+02:00
2003-04-06T00:00:00,+01:00
2003-09-07T01:00:00,+02:00
2004-04-04T00:00:00,+01:00
2004-09-05T01:00:00,+02:00
2005-04-03T00:00:00,+01:00
2005-09-04T01:00:00,+02:00
2006-04-02T00:00:00,+01:00
2006-09-03T01:00:00,+02:00
2007-04-01T00:00:00,+01:00
2007-09-02T01:00:00,+02:00
2008-04-06T00:00:00,+01:00
2008-09-07T01:00:00,+02:00
2009-04-05T00:00:00,+01:00
2009-09-06T01:00:00,+02:00
2010-04-04T00:00:00,+01:00
2010-09-05T01:00:00,+02:00
2011-04-03T00:00:00,+01:00
2011-09-04T01:00:00,+02:00
2012-04-01T00:00:00,+01:00
2012-09-02T01:00:00,+02:00
2013-04-07T00:00:00,+01:00
2013-09-01T01:00:00,+02:00
2014-04-06T00:00:00,+01:00
2014-09-07T01:00:00,+02:00
2015-04-05T00:00:00,+01:00
2015-09-06T01:00:00,+02:00
2016-04-03T00:00:00,+01:00
2016-09-04T01:00:00,+02:00
2017-04-02T00:00:00,+01:00
2017-09-03T01:00:00,+02:00
